                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1361,                 4.5053,                 4.2364,                0.00297,                0.74671,                0.00486,                 0.0016,                 2.5587,                 8.8888,                 4.5187,               0.003319,               0.003319,               0.003319
                      1,                 2.9908,                 4.2727,                 3.8951,                0.00488,                0.13069,                0.00112,                0.00028,                 3.0353,                 50.901,                 4.4519,              0.0066194,              0.0066194,              0.0066194
                      2,                 2.3629,                  3.686,                 3.0753,                0.19738,                0.08458,                0.05177,                0.01995,                 2.0806,                  3.415,                 3.1042,              0.0098868,              0.0098868,              0.0098868
                      3,                 1.7665,                 2.9717,                 2.3793,                0.36072,                0.44702,                0.37975,                0.20599,                 1.5661,                 2.3087,                  2.396,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.5399,                 2.4527,                  2.085,                0.65495,                0.37826,                0.48042,                0.29845,                 1.3887,                 2.1347,                  2.151,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4339,                 2.1647,                 1.9434,                0.52477,                0.61999,                0.58765,                0.37981,                 1.2496,                 1.8368,                 1.9852,               0.009802,               0.009802,               0.009802
                      6,                 1.3342,                 1.9248,                 1.8241,                0.52192,                0.66396,                0.60728,                0.41299,                 1.1893,                 1.5774,                 1.8993,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2687,                 1.7734,                 1.7564,                0.63309,                0.67893,                0.66588,                0.47177,                 1.1286,                  1.396,                 1.8141,               0.009703,               0.009703,               0.009703
                      8,                 1.2392,                 1.6733,                 1.7164,                0.65097,                0.69146,                0.71536,                0.51334,                 1.0809,                 1.2846,                 1.7673,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.2058,                 1.5918,                 1.6789,                0.71476,                0.70281,                0.74882,                0.52633,                 1.0964,                 1.1448,                 1.7605,               0.009604,               0.009604,               0.009604
                     10,                 1.1566,                 1.4943,                 1.6247,                0.68785,                0.70394,                0.76399,                0.55808,                 1.0199,                  1.184,                 1.6891,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1272,                 1.4294,                 1.5964,                0.71943,                0.75417,                0.78742,                0.57956,                 1.0104,                  1.056,                 1.6475,               0.009505,               0.009505,               0.009505
                     12,                 1.1237,                 1.4034,                 1.5891,                0.77831,                0.76208,                0.81422,                0.59168,                 1.0311,                0.99285,                  1.682,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.098,                  1.342,                 1.5592,                0.77929,                0.75629,                0.82127,                0.61095,                0.97921,                0.94094,                 1.6113,               0.009406,               0.009406,               0.009406
                     14,                 1.0939,                 1.3464,                 1.5598,                0.77635,                0.78209,                0.83921,                0.62949,                0.94777,                0.88488,                 1.5939,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0767,                 1.2774,                 1.5453,                0.80255,                0.76702,                0.84291,                0.63626,                0.93136,                0.87647,                  1.552,               0.009307,               0.009307,               0.009307
                     16,                 1.0644,                 1.2627,                 1.5189,                 0.8182,                0.80923,                0.85436,                 0.6509,                0.92558,                0.82717,                 1.5492,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0387,                 1.2271,                 1.5046,                0.77103,                0.82344,                0.85846,                0.65657,                0.88641,                0.86937,                 1.5128,               0.009208,               0.009208,               0.009208
                     18,                 1.0222,                 1.1991,                 1.4903,                 0.8005,                0.80701,                0.86864,                0.65663,                0.89963,                0.81684,                 1.5082,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0086,                 1.1675,                 1.4775,                0.82964,                0.79493,                0.87188,                0.67306,                0.87202,                0.79737,                  1.491,               0.009109,               0.009109,               0.009109
                     20,                 1.0123,                 1.1439,                 1.4751,                0.84633,                0.81723,                0.87997,                0.66562,                0.90366,                0.76469,                 1.5145,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.0011,                 1.1275,                 1.4578,                0.86945,                0.81993,                0.89051,                0.68621,                0.86348,                0.73926,                 1.4721,                0.00901,                0.00901,                0.00901
                     22,                0.99382,                  1.096,                 1.4463,                0.86391,                0.83041,                 0.8973,                0.70087,                0.84142,                0.70502,                 1.4477,              0.0089605,              0.0089605,              0.0089605
                     23,                0.98798,                 1.0777,                 1.4403,                0.86018,                0.81037,                0.87933,                0.69236,                0.83606,                0.71653,                  1.451,               0.008911,               0.008911,               0.008911
                     24,                0.97971,                 1.0759,                 1.4287,                0.86263,                0.84809,                0.90333,                0.71411,                0.81617,                0.66866,                 1.4197,              0.0088615,              0.0088615,              0.0088615
                     25,                0.97385,                 1.0425,                 1.4262,                0.86725,                0.84056,                 0.8993,                0.70286,                0.83608,                0.66505,                 1.4423,               0.008812,               0.008812,               0.008812
                     26,                0.96161,                 1.0217,                 1.4116,                0.85651,                0.84037,                0.90672,                0.71471,                0.82094,                 0.6615,                 1.4157,              0.0087625,              0.0087625,              0.0087625
                     27,                0.95206,                 1.0069,                 1.4048,                0.83226,                0.85007,                0.89532,                0.71058,                0.80228,                0.68453,                 1.3988,               0.008713,               0.008713,               0.008713
                     28,                0.94754,                 1.0042,                 1.3998,                0.86681,                0.85351,                0.91222,                0.72563,                0.79362,                0.64187,                 1.3946,              0.0086635,              0.0086635,              0.0086635
                     29,                0.94305,                0.99581,                 1.4016,                0.88856,                0.86196,                0.92367,                  0.738,                0.79041,                0.60219,                 1.3918,               0.008614,               0.008614,               0.008614
                     30,                0.92844,                0.97627,                 1.3889,                0.88259,                  0.864,                 0.9209,                0.73793,                0.78214,                0.60849,                 1.3834,              0.0085645,              0.0085645,              0.0085645
                     31,                0.91946,                0.96133,                 1.3786,                0.86304,                0.86361,                0.91557,                0.73354,                0.77706,                  0.615,                 1.3671,               0.008515,               0.008515,               0.008515
                     32,                0.92426,                0.97228,                 1.3827,                 0.8841,                0.87492,                0.92859,                0.74308,                0.78904,                0.58292,                 1.3825,              0.0084655,              0.0084655,              0.0084655
                     33,                0.91895,                0.93827,                 1.3721,                 0.8872,                0.86673,                0.92624,                0.74435,                0.76766,                0.59498,                 1.3644,               0.008416,               0.008416,               0.008416
                     34,                0.91806,                0.93121,                 1.3743,                0.91343,                0.86802,                0.92919,                0.74396,                0.76527,                0.59265,                  1.359,              0.0083665,              0.0083665,              0.0083665
                     35,                0.90802,                0.93348,                 1.3672,                0.90798,                0.87032,                0.93495,                0.74991,                 0.7658,                0.59314,                  1.346,               0.008317,               0.008317,               0.008317
                     36,                0.90753,                 0.9229,                 1.3635,                 0.8863,                0.87515,                0.93674,                0.75837,                0.74793,                0.58618,                  1.338,              0.0082675,              0.0082675,              0.0082675
                     37,                0.89827,                0.92258,                 1.3593,                0.87633,                0.87516,                0.93278,                0.75591,                0.73315,                0.57729,                 1.3336,               0.008218,               0.008218,               0.008218
